Id,SalePrice
1461,119435.57962154466
1462,151280.8555358705
1463,174502.83309312072
1464,189611.1192006329
1465,195491.6270256341
1466,176286.12944941904
1467,176746.1061630217
1468,169124.68564081617
1469,184173.30166181695
1470,124288.72305144959
1471,187389.94543739856
1472,98008.56134175797
1473,98021.32478246011
1474,148169.87391646585
1475,119853.38014895076
1476,355242.41958045773
1477,247342.0411757909
1478,302015.43968669674
1479,283874.1807109378
1480,475800.24068828335
1481,313942.37505485135
1482,211957.03800230194
1483,175942.49405976973
1484,170970.0860537039
1485,188545.00327516452
1486,195356.5914240906
1487,324845.9166653055
1488,236186.9139974186
1489,197461.71044624393
1490,222519.68542801315
1491,191889.8278455959
1492,91780.18598736174
1493,185701.09595212823
1494,294034.45450653206
1495,284141.3545564739
1496,232490.18295055703
1497,177690.77959644806
1498,166441.75228923542
1499,159273.9606371229
1500,159478.81914096003
1501,172401.2569643472
1502,155807.89527149525
1503,279486.70422196464
1504,239973.5766385109
1505,222314.88736035037
1506,183019.5675512427
1507,236956.52967884502
1508,193173.96700894856
1509,158825.59110734967
1510,148966.51162724616
1511,152980.16785958665
1512,169231.20590624964
1513,146806.82770461874
1514,148229.72127999866
1515,184929.7935758534
1516,154973.27388025122
1517,156760.7884503035
1518,130995.77911911326
1519,215547.0550947277
1520,132705.99317060874
1521,133723.83565764732
1522,168993.98426413373
1523,113532.4081002898
1524,120971.68528328039
1525,122363.32628145826
1526,118562.6548842311
1527,104821.32967277113
1528,129630.11799615948
1529,147686.03082378494
1530,185514.59584758588
1531,125188.74020775927
1532,100732.28604130281
1533,144530.51935545518
1534,118582.15360598254
1535,141275.25928687875
1536,112853.38708327277
1537,69297.46169710226
1538,152707.84750891657
1539,196394.48598653357
1540,101075.31839436803
1541,141334.0097628971
1542,135325.51628617922
1543,181067.69095514165
1544,85222.97110707662
1545,109800.81261363451
1546,134588.7449919439
1547,132851.38855635037
1548,135249.66357877944
1549,120004.42852475519
1550,138747.558575854
1551,108655.89169193048
1552,143492.24660290263
1553,141427.45714099426
1554,121450.33617107832
1555,158805.50953361625
1556,91053.26507074779
1557,103134.59544013186
1558,98131.94299664666
1559,90102.50442507063
1560,134570.59787799968
1561,127440.25227863387
1562,130487.5864106306
1563,123288.49381089586
1564,155440.80980132121
1565,147852.47667361383
1566,228765.08932333428
1567,79490.39520651486
1568,228317.8459027317
1569,134496.14504345934
1570,137024.4039859785
1571,118521.91273561188
1572,139337.27696169796
1573,225892.4074694971
1574,118863.41122264566
1575,222816.1122136927
1576,237285.10420811624
1577,194681.81144932524
1578,144406.53293532517
1579,140828.79158590164
1580,191821.07950742712
1581,149534.84251668263
1582,129161.9054039408
1583,302033.28741384426
1584,229205.96189260873
1585,140232.56511419849
1586,74231.69693063128
1587,108121.87057582011
1588,149842.0358036891
1589,95679.72571184742
1590,132594.7221038781
1591,98324.15512319739
1592,113506.5480711352
1593,123858.1398588391
1594,129102.35197189635
1595,112365.5940779604
1596,215340.345367937
1597,179085.85356638487
1598,205341.6995970371
1599,174346.78753245476
1600,176482.10010607558
1601,71827.76113372343
1602,112732.55060018683
1603,85260.94658330371
1604,265920.5985239998
1605,244955.412351439
1606,168460.62291305035
1607,169613.99868648403
1608,220274.30274290143
1609,190225.21004452565
1610,157464.4732900604
1611,144312.3751562297
1612,171683.87411675998
1613,168554.64444712058
1614,124618.95091888457
1615,89659.7047451241
1616,81330.66424217205
1617,91469.88900767043
1618,129701.61324023627
1619,139925.24901286507
1620,163728.96694589703
1621,136073.57913633887
1622,147321.6083569883
1623,268176.86030210624
